StaffNo,Share,year,percentage
JP0003,38754.47,2025,25
JP0004,57269.39,2025,25
JP0005,0.00,2025,25
JP0006,10000.00,2025,25
JP0015,22990.43,2025,25
JP0017,35841.47,2025,25
JP0018,10000.00,2025,25
JP0023,46509.67,2025,25
JP0024,23530.28,2025,25
JP0027,10000.00,2025,25
JP0028,13985.18,2025,25
JP0029,10000.00,2025,25
JP0030,11990.43,2025,25
JP0031,22000.00,2025,25
JP0032,74390.09,2025,25
JP0033,32000.00,2025,25
JP0034,17645.41,2025,25
JP0036,17069.48,2025,25
JP0039,50000.00,2025,25
JP0040,50538.99,2025,25
JP0042,10000.00,2025,25
JP0045,13000.00,2025,25
JP0051,31990.43,2025,25
JP0054,10000.00,2025,25
JP0055,0.00,2025,25
JP0057,10000.00,2025,25
JP0061,16596.21,2025,25
JP0062,10000.00,2025,25
JP0064,31368.94,2025,25
JP0065,10000.00,2025,25
JP0067,14000.00,2025,25
JP0069,13000.00,2025,25
JP0072,16663.61,2025,25
JP0077,10000.00,2025,25
JP0080,0.00,2025,25
JP0082,52910.25,2025,25
JP0083,10000.00,2025,25
JP0084,18875.15,2025,25
JP0086,71702.09,2025,25
JP0087,5698.94,2025,25
JP0088,38976.07,2025,25
JP0089,10000.00,2025,25
JP0090,29688.19,2025,25
JP0093,75952.14,2025,25
JP0094,9173.28,2025,25
JP0096,42875.17,2025,25
JP0098,21990.43,2025,25
JP0100,0.00,2025,25
JP0101,13000.00,2025,25
JP0102,12000.00,2025,25
JP0103,17000.00,2025,25
JP0104,10000.00,2025,25
JP0105,10000.00,2025,25
JP0111,11990.43,2025,25
JP0112,21990.43,2025,25
JP0113,52000.00,2025,25
JP0114,55000.00,2025,25
JP0118,10000.00,2025,25
JP0121,13000.00,2025,25
JP0122,10000.00,2025,25
JP0124,72346.36,2025,25
JP0125,31307.87,2025,25
JP0127,12250.05,2025,25
JP0128,28471.19,2025,25
JP0130,10000.00,2025,25
JP0131,44682.75,2025,25
JP0132,12990.43,2025,25
JP0133,10000.00,2025,25
JP0138,34115.45,2025,25
JP0139,16663.61,2025,25
JP0147,0.00,2025,25
JP0150,11471.19,2025,25
JP0151,26990.43,2025,25
JP0152,21990.43,2025,25
JP0153,16990.43,2025,25
JP0154,26990.43,2025,25
JP0155,10000.00,2025,25
JP0158,18221.33,2025,25
JP0165,10000.00,2025,25
JP0169,10000.00,2025,25
JP0170,10000.00,2025,25
JP0172,54067.40,2025,25
JP0175,17000.00,2025,25
JP0176,10000.00,2025,25
JP0177,102721.43,2025,25
JP0178,29471.19,2025,25
JP0179,25000.00,2025,25
JP0184,10000.00,2025,25
JP0193,14000.00,2025,25
JP0199,18740.58,2025,25
JP0200,10000.00,2025,25
JP0207,13000.00,2025,25
JP0208,23471.19,2025,25
JP0209,12250.05,2025,25
JP0210,17000.00,2025,25
JP0211,30990.43,2025,25
JP0212,10000.00,2025,25
JP0215,10000.00,2025,25
JP0217,18000.00,2025,25
JP0220,37634.69,2025,25
JP0222,21990.43,2025,25
JP0223,14000.00,2025,25
JP0224,10000.00,2025,25
JP0225,36990.43,2025,25
JP0226,26990.43,2025,25
JP0229,14327.02,2025,25
JP0230,10000.00,2025,25
JP0231,5192.42,2025,25
JP0232,10000.00,2025,25
JP0233,10000.00,2025,25
JP0234,,2025,25
JP0235,10000.00,2025,25
JP0241,25365.50,2025,25
JP0242,161596.41,2025,25
JP0243,0.00,2025,25
JP0244,10000.00,2025,25
JP0245,10000.00,2025,25
JP0246,17000.00,2025,25
JP0247,0.00,2025,25
JP0254,36990.43,2025,25
JP0273,134529.21,2025,25
JP0286,0.00,2025,25
JP0288,13000.00,2025,25
JP0289,19471.19,2025,25
JP0290,74586.64,2025,25
JP0291,18692.32,2025,25
JP0292,10000.00,2025,25
JP0294,26990.43,2025,25
JP0295,17000.00,2025,25
JP0296,10000.00,2025,25
JP0297,10000.00,2025,25
JP0298,10000.00,2025,25
JP0301,10000.00,2025,25
JP0303,10000.00,2025,25
JP0304,17000.00,2025,25
JP0307,10000.00,2025,25
JP0308,20028.91,2025,25
JP0310,25365.50,2025,25
JP0312,10000.00,2025,25
JP0313,33250.05,2025,25
JP0314,10000.00,2025,25
JP0319,10000.00,2025,25
JP0322,11990.43,2025,25
JP0324,4932.80,2025,25
JP0325,18990.43,2025,25
JP0328,10000.00,2025,25
JP0329,19807.78,2025,25
JP0331,10000.00,2025,25
JP0332,10000.00,2025,25
JP0333,15192.42,2025,25
JP0337,10000.00,2025,25
JP0338,10000.00,2025,25
JP0339,34028.91,2025,25
JP0340,76509.67,2025,25
JP0341,26990.43,2025,25
JP0342,22000.00,2025,25
JP0344,12250.05,2025,25
JP0345,30990.43,2025,25
JP0348,0.00,2025,25
JP0349,11211.56,2025,25
JP0352,14000.00,2025,25
JP0353,10000.00,2025,25
JP0354,10000.00,2025,25
JP0355,10000.00,2025,25
JP0356,10000.00,2025,25
JP0357,10000.00,2025,25
JP0358,13000.00,2025,25
JP0359,17000.00,2025,25
JP0360,13000.00,2025,25
JP0361,13000.00,2025,25
JP0362,0.00,2025,25
JP0363,10000.00,2025,25
JP0364,10000.00,2025,25
JP0365,10000.00,2025,25
JP0366,10000.00,2025,25
JP0367,10000.00,2025,25
JP0368,10000.00,2025,25
JP0369,18000.00,2025,25
JP0370,,2025,25
JP0371,10000.00,2025,25
JP0372,0.00,2025,25
JP0373,10000.00,2025,25
JP0375,10000.00,2025,25
JP0376,10000.00,2025,25
JP0377,10000.00,2025,25
JP0378,10000.00,2025,25
JP0380,17000.00,2025,25
JP0382,10000.00,2025,25
JP0383,10000.00,2025,25
JP0384,10000.00,2025,25
JP0387,10000.00,2025,25
JP0389,10000.00,2025,25
JP0390,12000.00,2025,25
JP0391,10000.00,2025,25
JP0392,10000.00,2025,25
JP0393,10000.00,2025,25
JP0394,10000.00,2025,25
JP0395,10000.00,2025,25
JP0397,10000.00,2025,25
JP0398,10000.00,2025,25
JP0399,0.00,2025,25
JP0400,10000.00,2025,25
JP0401,10000.00,2025,25
JP0403,10000.00,2025,25
JP0405,0.00,2025,25
JP0407,0.00,2025,25
JP0408,0.00,2025,25
JP0410,0.00,2025,25
JP0420,0.00,2025,25
JP0429,0.00,2025,25
JP0433,0.00,2025,25
JP0438,0.00,2025,25
JP0446,0.00,2025,25
JP0448,0.00,2025,25
JP0449,0.00,2025,25
JP0450,0.00,2025,25
JP0451,0.00,2025,25
JP0452,0.00,2025,25
JP0453,0.00,2025,25
JP0454,0.00,2025,25
JP0455,0.00,2025,25
JP0456,0.00,2025,25
JP0457,0.00,2025,25
JP0464,0.00,2025,25
JP0466,0.00,2025,25
JP0468,0.00,2025,25
JP0476,0.00,2025,25
SP0002,61058.80,2025,25
SP0005,0.00,2025,25
SP0006,10000.00,2025,25
SP0008,98280.67,2025,25
SP0009,1077406.73,2025,25
SP0011,0.00,2025,25
SP0013,194000.00,2025,25
SP0015,95509.87,2025,25
SP0017,384750.93,2025,25
SP0024,45962.10,2025,25
SP0027,30202.58,2025,25
SP0029,400809.54,2025,25
SP0033,231154.52,2025,25
SP0038,212894.51,2025,25
SP0040,87211.76,2025,25
SP0041,126540.35,2025,25
SP0042,648328.55,2025,25
SP0043,55105.88,2025,25
SP0044,374292.92,2025,25
SP0057,104126.40,2025,25
SP0059,88885.33,2025,25
SP0060,505274.03,2025,25
SP0062,344616.14,2025,25
SP0068,256616.74,2025,25
SP0071,97875.56,2025,25
SP0072,10000.00,2025,25
SP0073,58028.91,2025,25
