smnno,amount,typeid,month,year
SMN/001,13180,1,1,2020
SMN/002,7471,1,1,2020
SMN/003,13584,1,1,2020
SMN/004,6685,1,1,2020
SMN/005,12101,1,1,2020
SMN/006,12274,1,1,2020
SMN/007,11216,1,1,2020
SMN/008,13548,1,1,2020
SMN/009,14110,1,1,2020
SMN/010,8168,1,1,2020
SMN/011,6718,1,1,2020
SMN/012,13613,1,1,2020
SMN/013,13581,1,1,2020
SMN/014,7935,1,1,2020
SMN/015,14754,1,1,2020
SMN/016,5902,1,1,2020
SMN/017,12942,1,1,2020
SMN/018,12737,1,1,2020
SMN/019,9806,1,1,2020
SMN/020,14834,1,1,2020
SMN/021,5925,1,1,2020
SMN/022,11953,1,1,2020
SMN/023,9031,1,1,2020
SMN/024,7814,1,1,2020
SMN/025,14816,1,1,2020
SMN/026,6830,1,1,2020
SMN/027,9047,1,1,2020
SMN/028,5971,1,1,2020
SMN/029,5732,1,1,2020
SMN/030,6687,1,1,2020
SMN/031,12896,1,1,2020
SMN/032,14613,1,1,2020
SMN/033,10286,1,1,2020
SMN/034,8886,1,1,2020
SMN/035,12258,1,1,2020
SMN/036,9315,1,1,2020
SMN/037,11951,1,1,2020
SMN/038,15000,1,1,2020
SMN/039,8972,1,1,2020
SMN/040,14689,1,1,2020
SMN/041,8112,1,1,2020
SMN/042,14116,1,1,2020
SMN/043,10316,1,1,2020
SMN/044,9849,1,1,2020
SMN/045,12998,1,1,2020
SMN/046,11619,1,1,2020
SMN/047,13082,1,1,2020
SMN/048,11685,1,1,2020
SMN/049,6962,1,1,2020
SMN/050,7164,1,1,2020
SMN/051,11384,1,1,2020
SMN/052,8460,1,1,2020
SMN/053,8207,1,1,2020
SMN/054,7175,1,1,2020
SMN/055,5626,1,1,2020
SMN/056,12658,1,1,2020
SMN/057,10147,1,1,2020
SMN/058,10294,1,1,2020
SMN/059,10248,1,1,2020
SMN/060,9106,1,1,2020
SMN/061,9765,1,1,2020
SMN/062,5809,1,1,2020
SMN/063,14889,1,1,2020
SMN/064,8010,1,1,2020
SMN/065,8382,1,1,2020
SMN/066,14004,1,1,2020
SMN/067,11108,1,1,2020
SMN/068,12878,1,1,2020
SMN/069,11477,1,1,2020
SMN/070,13835,1,1,2020
SMN/071,5447,1,1,2020
SMN/072,14854,1,1,2020
SMN/073,13571,1,1,2020
SMN/074,9071,1,1,2020
SMN/075,8632,1,1,2020
SMN/076,14461,1,1,2020
SMN/077,8824,1,1,2020
SMN/078,7623,1,1,2020
SMN/079,12456,1,1,2020
SMN/080,7499,1,1,2020
SMN/081,12208,1,1,2020
SMN/082,5068,1,1,2020
SMN/083,6096,1,1,2020
SMN/084,8039,1,1,2020
SMN/085,13581,1,1,2020
SMN/086,14813,1,1,2020
SMN/087,11800,1,1,2020
SMN/088,14495,1,1,2020
SMN/089,11037,1,1,2020
SMN/090,11888,1,1,2020
SMN/091,5726,1,1,2020
SMN/092,10367,1,1,2020
SMN/093,6826,1,1,2020
SMN/094,11084,1,1,2020
SMN/095,12260,1,1,2020
SMN/096,7993,1,1,2020
SMN/097,11370,1,1,2020
SMN/098,8379,1,1,2020
