smnno,amount,typeid,month,year
JP0003,63800,1,1,2014
JP0004,94971,1,1,2014
JP0005,2836,1,1,2014
JP0006,18000,1,1,2014
JP0015,22258,1,1,2014
JP0017,112253,1,1,2014
JP0018,19013,1,1,2014
JP0023,64518,1,1,2014
JP0024,54089,1,1,2014
JP0027,293589,1,1,2014
JP0028,110659,1,1,2014
JP0029,48000,1,1,2014
JP0030,92000,1,1,2014
JP0031,61024,1,1,2014
JP0032,92748,1,1,2014
JP0033,135000,1,1,2014
JP0034,56805,1,1,2014
JP0036,125000,1,1,2014
JP0039,20856,1,1,2014
JP0040,60637,1,1,2014
JP0042,35000,1,1,2014
JP0045,127333,1,1,2014
JP0051,29789,1,1,2014
JP0054,47000,1,1,2014
JP0055,3002,1,1,2014
JP0057,79295,1,1,2014
JP0061,37210,1,1,2014
JP0062,70000,1,1,2014
JP0064,158227,1,1,2014
JP0065,20000,1,1,2014
JP0067,15955,1,1,2014
JP0069,118000,1,1,2014
JP0072,123001,1,1,2014
JP0077,177333,1,1,2014
JP0080,3000,1,1,2014
JP0082,151794,1,1,2014
JP0083,82000,1,1,2014
JP0084,184082,1,1,2014
JP0086,192968,1,1,2014
JP0087,4550,1,1,2014
JP0088,77373,1,1,2014
JP0089,49456,1,1,2014
JP0090,22201,1,1,2014
JP0093,22000,1,1,2014
JP0094,63412,1,1,2014
JP0096,107008,1,1,2014
JP0098,88000,1,1,2014
JP0100,15000,1,1,2014
JP0101,98000,1,1,2014
JP0102,38683,1,1,2014
JP0103,117436,1,1,2014
JP0104,97827,1,1,2014
JP0105,59334,1,1,2014
JP0111,49000,1,1,2014
JP0112,107289,1,1,2014
JP0113,195000,1,1,2014
JP0114,55000,1,1,2014
JP0118,80150,1,1,2014
JP0121,70581,1,1,2014
JP0122,17000,1,1,2014
JP0124,194428,1,1,2014
JP0125,176003,1,1,2014
JP0127,76420,1,1,2014
JP0128,100223,1,1,2014
JP0130,56000,1,1,2014
JP0131,75865,1,1,2014
JP0132,79000,1,1,2014
JP0133,47297,1,1,2014
JP0138,19857,1,1,2014
JP0139,39801,1,1,2014
JP0147,30000,1,1,2014
JP0150,78655,1,1,2014
JP0151,96000,1,1,2014
JP0152,102520,1,1,2014
JP0153,49357,1,1,2014
JP0154,116668,1,1,2014
JP0155,49819,1,1,2014
JP0158,109000,1,1,2014
JP0165,59333,1,1,2014
JP0169,39000,1,1,2014
JP0170,77000,1,1,2014
JP0172,121249,1,1,2014
JP0175,91000,1,1,2014
JP0176,136000,1,1,2014
JP0177,119000,1,1,2014
JP0178,37000,1,1,2014
JP0179,64000,1,1,2014
JP0184,73664,1,1,2014
JP0193,15000,1,1,2014
JP0199,51501,1,1,2014
JP0200,100000,1,1,2014
JP0207,77000,1,1,2014
JP0208,76000,1,1,2014
JP0209,-27033,1,1,2014
JP0210,48000,1,1,2014
JP0211,51000,1,1,2014
JP0212,38000,1,1,2014
JP0215,118000,1,1,2014
JP0217,103000,1,1,2014
JP0220,110220,1,1,2014
JP0222,90000,1,1,2014
JP0223,99359,1,1,2014
JP0224,174000,1,1,2014
JP0225,118167,1,1,2014
JP0226,59000,1,1,2014
JP0229,51000,1,1,2014
JP0230,90000,1,1,2014
JP0231,80963,1,1,2014
JP0232,70000,1,1,2014
JP0233,78160,1,1,2014
JP0234,45000,1,1,2014
JP0235,60400,1,1,2014
JP0241,206000,1,1,2014
JP0242,156793,1,1,2014
JP0243,89035,1,1,2014
JP0244,95333,1,1,2014
JP0245,25326,1,1,2014
JP0246,55407,1,1,2014
JP0247,4475,1,1,2014
JP0254,219556,1,1,2014
JP0273,56243,1,1,2014
JP0286,99000,1,1,2014
JP0288,40621,1,1,2014
JP0289,50574,1,1,2014
JP0290,63333,1,1,2014
JP0291,32000,1,1,2014
JP0292,70406,1,1,2014
JP0294,47000,1,1,2014
JP0295,88003,1,1,2014
JP0296,20000,1,1,2014
JP0297,66000,1,1,2014
JP0298,28000,1,1,2014
JP0301,85000,1,1,2014
JP0303,121608,1,1,2014
JP0304,22802,1,1,2014
JP0307,20000,1,1,2014
JP0308,25883,1,1,2014
JP0310,103001,1,1,2014
JP0312,78052,1,1,2014
JP0313,66471,1,1,2014
JP0314,124332,1,1,2014
JP0319,52000,1,1,2014
JP0322,67428,1,1,2014
JP0324,18302,1,1,2014
JP0325,20500,1,1,2014
JP0328,65000,1,1,2014
JP0329,65660,1,1,2014
JP0331,5000,1,1,2014
JP0332,50091,1,1,2014
JP0333,92400,1,1,2014
JP0337,38000,1,1,2014
JP0338,48400,1,1,2014
JP0339,34000,1,1,2014
JP0340,261000,1,1,2014
JP0341,117000,1,1,2014
JP0342,112388,1,1,2014
JP0344,146340,1,1,2014
JP0345,94744,1,1,2014
JP0348,36287,1,1,2014
JP0349,88043,1,1,2014
JP0352,107834,1,1,2014
JP0353,24000,1,1,2014
JP0354,79000,1,1,2014
JP0355,62000,1,1,2014
JP0356,85000,1,1,2014
JP0357,44000,1,1,2014
JP0358,63152,1,1,2014
JP0359,108000,1,1,2014
JP0360,121000,1,1,2014
JP0361,47668,1,1,2014
JP0362,3000,1,1,2014
JP0363,67256,1,1,2014
JP0364,106333,1,1,2014
JP0365,46667,1,1,2014
JP0366,95000,1,1,2014
JP0367,88000,1,1,2014
JP0368,10256,1,1,2014
JP0369,89000,1,1,2014
JP0370,,1,1,2014
JP0371,94000,1,1,2014
JP0372,46403,1,1,2014
JP0373,97000,1,1,2014
JP0375,71067,1,1,2014
JP0376,8000,1,1,2014
JP0377,88000,1,1,2014
JP0378,29000,1,1,2014
JP0380,91409,1,1,2014
JP0382,62002,1,1,2014
JP0383,43000,1,1,2014
JP0384,100000,1,1,2014
JP0387,33332,1,1,2014
JP0389,37000,1,1,2014
JP0390,87750,1,1,2014
JP0391,52000,1,1,2014
JP0392,73256,1,1,2014
JP0393,100333,1,1,2014
JP0394,60256,1,1,2014
JP0395,41998,1,1,2014
JP0397,64333,1,1,2014
JP0398,11000,1,1,2014
JP0399,5000,1,1,2014
JP0400,40000,1,1,2014
JP0401,46000,1,1,2014
JP0403,30000,1,1,2014
JP0405,,1,1,2014
JP0407,,1,1,2014
JP0408,,1,1,2014
JP0410,,1,1,2014
JP0420,,1,1,2014
JP0429,,1,1,2014
JP0433,,1,1,2014
JP0438,,1,1,2014
JP0446,,1,1,2014
JP0448,,1,1,2014
JP0449,,1,1,2014
JP0450,,1,1,2014
JP0451,,1,1,2014
JP0452,,1,1,2014
JP0453,,1,1,2014
JP0454,,1,1,2014
JP0455,,1,1,2014
JP0456,,1,1,2014
JP0457,,1,1,2014
JP0464,,1,1,2014
JP0466,,1,1,2014
JP0468,,1,1,2014
JP0476,,1,1,2014
SP0002,-273333,1,1,2014
SP0005,6300,1,1,2014
SP0006,95002,1,1,2014
SP0008,10000,1,1,2014
SP0009,1093329,1,1,2014
SP0011,2294732,1,1,2014
SP0013,60000,1,1,2014
SP0015,89154,1,1,2014
SP0017,272004,1,1,2014
SP0024,180000,1,1,2014
SP0027,0,1,1,2014
SP0029,336052,1,1,2014
SP0033,110002,1,1,2014
SP0038,79000,1,1,2014
SP0040,81974,1,1,2014
SP0041,3340,1,1,2014
SP0042,1717947,1,1,2014
SP0043,654000,1,1,2014
SP0044,216902,1,1,2014
SP0057,360000,1,1,2014
SP0059,805437,1,1,2014
