smnno,amount,typeid,month,year
SP1175,8000.00,1,1,2024
JP0319,9000.00,1,1,2024
JP0329,9000.00,1,1,2024
JP0392,9000.00,1,1,2024
SP0140,9000.00,1,1,2024
JP0042,9140.00,1,1,2024
JP0102,9210.00,1,1,2024
JP0112,9210.00,1,1,2024
JP0132,9210.00,1,1,2024
JP0153,9210.00,1,1,2024
JP0158,9210.00,1,1,2024
JP0175,9210.00,1,1,2024
JP0207,9210.00,1,1,2024
JP0291,9210.00,1,1,2024
JP0294,9210.00,1,1,2024
JP0380,9210.00,1,1,2024
SP0648,10000.00,1,1,2024
SP1097,13000.00,1,1,2024
SP1208,13000.00,1,1,2024
JP0295,13538.00,1,1,2024
SP0848,15000.00,1,1,2024
SP0619,15210.00,1,1,2024
JP0371,17410.00,1,1,2024
JP0003,18000.00,1,1,2024
JP0018,18000.00,1,1,2024
JP0155,18000.00,1,1,2024
JP0247,18000.00,1,1,2024
JP0354,18000.00,1,1,2024
JP0372,18000.00,1,1,2024
JP0376,18000.00,1,1,2024
SP0222,18000.00,1,1,2024
JP0061,18210.00,1,1,2024
JP0308,18210.00,1,1,2024
SP0556,18210.00,1,1,2024
SP0835,18210.00,1,1,2024
SP0750,20000.00,1,1,2024
JP0397,21000.00,1,1,2024
JP0241,21086.00,1,1,2024
JP0057,21210.00,1,1,2024
JP0131,21210.00,1,1,2024
JP0234,24000.00,1,1,2024
JP0098,24861.00,1,1,2024
JP0408,25000.00,1,1,2024
SP0017,25000.00,1,1,2024
SP1204,25000.00,1,1,2024
JP0448,25210.00,1,1,2024
JP0082,27000.00,1,1,2024
JP0348,27000.00,1,1,2024
JP0355,27000.00,1,1,2024
JP0410,27000.00,1,1,2024
SP0386,27000.00,1,1,2024
JP0004,27210.00,1,1,2024
JP0028,27210.00,1,1,2024
JP0029,27210.00,1,1,2024
JP0030,27210.00,1,1,2024
JP0031,27210.00,1,1,2024
JP0032,27210.00,1,1,2024
JP0033,27210.00,1,1,2024
JP0039,27210.00,1,1,2024
JP0072,27210.00,1,1,2024
JP0083,27210.00,1,1,2024
JP0084,27210.00,1,1,2024
JP0118,27210.00,1,1,2024
JP0121,27210.00,1,1,2024
JP0124,27210.00,1,1,2024
JP0125,27210.00,1,1,2024
JP0128,27210.00,1,1,2024
JP0139,27210.00,1,1,2024
JP0151,27210.00,1,1,2024
JP0154,27210.00,1,1,2024
JP0172,27210.00,1,1,2024
JP0177,27210.00,1,1,2024
JP0178,27210.00,1,1,2024
JP0210,27210.00,1,1,2024
JP0220,27210.00,1,1,2024
JP0226,27210.00,1,1,2024
JP0232,27210.00,1,1,2024
JP0235,27210.00,1,1,2024
JP0246,27210.00,1,1,2024
JP0273,27210.00,1,1,2024
JP0288,27210.00,1,1,2024
JP0312,27210.00,1,1,2024
JP0333,27210.00,1,1,2024
JP0338,27210.00,1,1,2024
JP0349,27210.00,1,1,2024
JP0352,27210.00,1,1,2024
JP0357,27210.00,1,1,2024
JP0364,27210.00,1,1,2024
JP0365,27210.00,1,1,2024
JP0367,27210.00,1,1,2024
JP0369,27210.00,1,1,2024
JP0373,27210.00,1,1,2024
JP0377,27210.00,1,1,2024
JP0382,27210.00,1,1,2024
JP0383,27210.00,1,1,2024
JP0390,27210.00,1,1,2024
JP0391,27210.00,1,1,2024
SP0133,27210.00,1,1,2024
SP0136,27210.00,1,1,2024
SP0221,27210.00,1,1,2024
SP0661,27210.00,1,1,2024
SP0747,27210.00,1,1,2024
SP0889,27210.00,1,1,2024
SP0890,27210.00,1,1,2024
JP0429,28000.00,1,1,2024
JP0449,28000.00,1,1,2024
JP0450,28000.00,1,1,2024
JP0451,28000.00,1,1,2024
JP0452,28000.00,1,1,2024
JP0453,28000.00,1,1,2024
JP0454,28000.00,1,1,2024
JP0455,28000.00,1,1,2024
JP0456,28000.00,1,1,2024
JP0457,28000.00,1,1,2024
JP0476,28000.00,1,1,2024
SP1086,28000.00,1,1,2024
SP1142,28000.00,1,1,2024
SP1194,28000.00,1,1,2024
SP0820,28210.00,1,1,2024
JP0147,30000.00,1,1,2024
JP0345,30000.00,1,1,2024
SP0304,30000.00,1,1,2024
SP0322,30000.00,1,1,2024
SP0605,30000.00,1,1,2024
JP0089,30210.00,1,1,2024
JP0101,30210.00,1,1,2024
JP0103,30210.00,1,1,2024
JP0304,30210.00,1,1,2024
JP0387,30210.00,1,1,2024
JP0394,30210.00,1,1,2024
SP0110,30210.00,1,1,2024
SP0202,30210.00,1,1,2024
SP0908,30210.00,1,1,2024
JP0199,31161.00,1,1,2024
SP1176,33000.00,1,1,2024
JP0222,33210.00,1,1,2024
JP0170,34478.00,1,1,2024
SP0394,35210.00,1,1,2024
SP0483,35210.00,1,1,2024
SP0813,35210.00,1,1,2024
JP0045,36000.00,1,1,2024
JP0093,36000.00,1,1,2024
JP0105,36000.00,1,1,2024
JP0111,36000.00,1,1,2024
JP0113,36000.00,1,1,2024
JP0127,36000.00,1,1,2024
JP0130,36000.00,1,1,2024
JP0184,36000.00,1,1,2024
JP0286,36000.00,1,1,2024
JP0290,36000.00,1,1,2024
JP0296,36000.00,1,1,2024
JP0298,36000.00,1,1,2024
JP0301,36000.00,1,1,2024
JP0337,36000.00,1,1,2024
JP0359,36000.00,1,1,2024
JP0360,36000.00,1,1,2024
JP0361,36000.00,1,1,2024
JP0363,36000.00,1,1,2024
SP0270,36000.00,1,1,2024
SP0444,36000.00,1,1,2024
SP0491,36000.00,1,1,2024
SP0510,36000.00,1,1,2024
SP0543,36000.00,1,1,2024
SP0553,36000.00,1,1,2024
SP0627,36000.00,1,1,2024
SP0650,36000.00,1,1,2024
SP0768,36000.00,1,1,2024
SP0901,36000.00,1,1,2024
JP0036,36210.00,1,1,2024
JP0054,36210.00,1,1,2024
JP0069,36210.00,1,1,2024
JP0096,36210.00,1,1,2024
JP0114,36210.00,1,1,2024
JP0122,36210.00,1,1,2024
JP0138,36210.00,1,1,2024
JP0165,36210.00,1,1,2024
JP0176,36210.00,1,1,2024
JP0208,36210.00,1,1,2024
JP0225,36210.00,1,1,2024
JP0230,36210.00,1,1,2024
JP0245,36210.00,1,1,2024
JP0292,36210.00,1,1,2024
JP0297,36210.00,1,1,2024
JP0307,36210.00,1,1,2024
JP0314,36210.00,1,1,2024
JP0324,36210.00,1,1,2024
JP0328,36210.00,1,1,2024
JP0332,36210.00,1,1,2024
JP0339,36210.00,1,1,2024
JP0341,36210.00,1,1,2024
JP0344,36210.00,1,1,2024
JP0358,36210.00,1,1,2024
JP0378,36210.00,1,1,2024
JP0384,36210.00,1,1,2024
SP0087,36210.00,1,1,2024
SP0192,36210.00,1,1,2024
SP0213,36210.00,1,1,2024
SP0226,36210.00,1,1,2024
SP0433,36210.00,1,1,2024
SP0509,36210.00,1,1,2024
SP0524,36210.00,1,1,2024
SP0585,36210.00,1,1,2024
SP0587,36210.00,1,1,2024
SP0771,36210.00,1,1,2024
SP0810,36210.00,1,1,2024
SP0822,36210.00,1,1,2024
SP0823,36210.00,1,1,2024
SP0844,36210.00,1,1,2024
JP0104,36211.00,1,1,2024
JP0407,37000.00,1,1,2024
JP0433,37000.00,1,1,2024
JP0438,37000.00,1,1,2024
JP0446,37000.00,1,1,2024
JP0310,37210.00,1,1,2024
JP0303,37338.00,1,1,2024
JP0400,39000.00,1,1,2024
JP0024,39140.00,1,1,2024
JP0356,39210.00,1,1,2024
JP0215,40164.00,1,1,2024
JP0217,40725.00,1,1,2024
JP0152,40795.00,1,1,2024
SP0816,42210.00,1,1,2024
JP0405,43000.00,1,1,2024
SP0129,43000.00,1,1,2024
SP0814,43000.00,1,1,2024
SP1135,43000.00,1,1,2024
JP0420,43210.00,1,1,2024
SP1041,43210.00,1,1,2024
SP1067,43210.00,1,1,2024
SP1172,43210.00,1,1,2024
JP0065,43710.00,1,1,2024
JP0393,44969.00,1,1,2024
SP0106,45000.00,1,1,2024
SP0317,45000.00,1,1,2024
SP0834,45000.00,1,1,2024
SP0846,45000.00,1,1,2024
SP0851,45000.00,1,1,2024
JP0331,45210.00,1,1,2024
JP0403,45210.00,1,1,2024
SP0082,45210.00,1,1,2024
SP0100,45210.00,1,1,2024
SP0114,45210.00,1,1,2024
SP0121,45210.00,1,1,2024
SP0169,45210.00,1,1,2024
SP0170,45210.00,1,1,2024
SP0188,45210.00,1,1,2024
SP0201,45210.00,1,1,2024
SP0234,45210.00,1,1,2024
SP0245,45210.00,1,1,2024
SP0308,45210.00,1,1,2024
SP0417,45210.00,1,1,2024
SP0428,45210.00,1,1,2024
SP0552,45210.00,1,1,2024
SP0572,45210.00,1,1,2024
SP0586,45210.00,1,1,2024
SP0610,45210.00,1,1,2024
SP0643,45210.00,1,1,2024
SP0669,45210.00,1,1,2024
SP0905,45210.00,1,1,2024
JP0289,45543.00,1,1,2024
JP0398,45543.00,1,1,2024
JP0395,45999.00,1,1,2024
SP0555,46740.00,1,1,2024
JP0401,48000.00,1,1,2024
SP0831,48210.00,1,1,2024
JP0086,48501.00,1,1,2024
SP0239,50000.00,1,1,2024
SP0313,50000.00,1,1,2024
SP0336,50000.00,1,1,2024
SP0449,50000.00,1,1,2024
SP0399,50210.00,1,1,2024
SP0652,50210.00,1,1,2024
SP0886,50210.00,1,1,2024
SP0849,50648.00,1,1,2024
JP0223,51531.00,1,1,2024
JP0313,51861.00,1,1,2024
JP0342,52460.00,1,1,2024
SP0811,52794.00,1,1,2024
JP0212,54000.00,1,1,2024
JP0340,54960.00,1,1,2024
JP0368,56001.00,1,1,2024
JP0464,57207.33,1,1,2024
SP0443,57210.00,1,1,2024
SP1030,58000.00,1,1,2024
SP1038,58000.00,1,1,2024
SP1045,58000.00,1,1,2024
SP1161,58000.00,1,1,2024
JP0200,59154.67,1,1,2024
JP0017,59210.00,1,1,2024
JP0077,60000.00,1,1,2024
JP0169,60000.00,1,1,2024
SP0043,60000.00,1,1,2024
SP0137,60000.00,1,1,2024
SP0146,60000.00,1,1,2024
SP0153,60000.00,1,1,2024
SP0179,60000.00,1,1,2024
SP0181,60000.00,1,1,2024
SP0214,60000.00,1,1,2024
SP0243,60000.00,1,1,2024
SP0267,60000.00,1,1,2024
SP0277,60000.00,1,1,2024
SP0325,60000.00,1,1,2024
SP0379,60000.00,1,1,2024
SP0400,60000.00,1,1,2024
SP0403,60000.00,1,1,2024
SP0440,60000.00,1,1,2024
SP0441,60000.00,1,1,2024
SP0451,60000.00,1,1,2024
SP0466,60000.00,1,1,2024
SP0476,60000.00,1,1,2024
SP0499,60000.00,1,1,2024
SP0500,60000.00,1,1,2024
SP0504,60000.00,1,1,2024
SP0505,60000.00,1,1,2024
SP0512,60000.00,1,1,2024
SP0519,60000.00,1,1,2024
SP0529,60000.00,1,1,2024
SP0542,60000.00,1,1,2024
SP0567,60000.00,1,1,2024
SP0642,60000.00,1,1,2024
SP0646,60000.00,1,1,2024
SP0744,60000.00,1,1,2024
SP0745,60000.00,1,1,2024
SP0748,60000.00,1,1,2024
SP0753,60000.00,1,1,2024
SP0769,60000.00,1,1,2024
SP0818,60000.00,1,1,2024
SP0838,60000.00,1,1,2024
SP0843,60000.00,1,1,2024
SP0888,60000.00,1,1,2024
SP0897,60000.00,1,1,2024
SP0418,60003.00,1,1,2024
SP0156,60140.00,1,1,2024
JP0027,60210.00,1,1,2024
JP0040,60210.00,1,1,2024
JP0211,60210.00,1,1,2024
JP0224,60210.00,1,1,2024
JP0233,60210.00,1,1,2024
SP0006,60210.00,1,1,2024
SP0072,60210.00,1,1,2024
SP0073,60210.00,1,1,2024
SP0075,60210.00,1,1,2024
SP0079,60210.00,1,1,2024
SP0081,60210.00,1,1,2024
SP0084,60210.00,1,1,2024
SP0094,60210.00,1,1,2024
SP0096,60210.00,1,1,2024
SP0098,60210.00,1,1,2024
SP0120,60210.00,1,1,2024
SP0128,60210.00,1,1,2024
SP0141,60210.00,1,1,2024
SP0149,60210.00,1,1,2024
SP0157,60210.00,1,1,2024
SP0160,60210.00,1,1,2024
SP0180,60210.00,1,1,2024
SP0196,60210.00,1,1,2024
SP0207,60210.00,1,1,2024
SP0227,60210.00,1,1,2024
SP0228,60210.00,1,1,2024
SP0229,60210.00,1,1,2024
SP0230,60210.00,1,1,2024
SP0250,60210.00,1,1,2024
SP0262,60210.00,1,1,2024
SP0282,60210.00,1,1,2024
SP0299,60210.00,1,1,2024
SP0327,60210.00,1,1,2024
SP0330,60210.00,1,1,2024
SP0337,60210.00,1,1,2024
SP0345,60210.00,1,1,2024
SP0352,60210.00,1,1,2024
SP0357,60210.00,1,1,2024
SP0369,60210.00,1,1,2024
SP0372,60210.00,1,1,2024
SP0373,60210.00,1,1,2024
SP0398,60210.00,1,1,2024
SP0402,60210.00,1,1,2024
SP0413,60210.00,1,1,2024
SP0442,60210.00,1,1,2024
SP0445,60210.00,1,1,2024
SP0447,60210.00,1,1,2024
SP0450,60210.00,1,1,2024
SP0472,60210.00,1,1,2024
SP0475,60210.00,1,1,2024
SP0487,60210.00,1,1,2024
SP0488,60210.00,1,1,2024
SP0506,60210.00,1,1,2024
SP0507,60210.00,1,1,2024
SP0520,60210.00,1,1,2024
SP0547,60210.00,1,1,2024
SP0561,60210.00,1,1,2024
SP0562,60210.00,1,1,2024
SP0565,60210.00,1,1,2024
SP0575,60210.00,1,1,2024
SP0576,60210.00,1,1,2024
